Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
3950.228746,7723,0,0,0,0,-0.809526616,-0.515106804,-0.281658728
2870.618306,7723.889803,0.292497892890473+0.549262835461961i,3.29084004411754-6.60635672391096i,3.6005566606867+5.72494368961171i,4.5911900049925-0.124809287742998i,-0.813990858,-0.523191942,-0.252366945
2915.753384,7588.747015,0.837361597208724+0.246992802861907i,0.762014509989061-6.03526929330216i,5.48029763385899+2.80533073309327i,2.12874976595977-4.86549063538062i,-0.817936902,-0.530485718,-0.222630024
4955.535209,8293.791433,0.862645756542615-0.483676008985968i,-1.36600665959355-6.42826753401957i,5.91206355866412-0.205781073481952i,-4.28757863385598-4.88461306078218i,-0.821365583,-0.53693566,-0.192506305
8244.406663,8726.085898,0.263870111664064-0.989134745113096i,-4.41148562436252-7.35143500446303i,5.4556838952972-2.95148301277328i,-8.43561899365998+2.42372973310514i,-0.824276543,-0.542500342,-0.16205419
9786.287544,7991.845688,-0.511539981741653-0.858768825106771i,-11.2888603617892-9.58771827465896i,5.15520555374234-6.18097853450374i,-2.45893013482988+14.5990225808513i,-0.826650616,-0.547182999,-0.131299368
10255.46046,8240.276595,-0.757713573504581-0.185025450472264i,-88.8016473772207-35.7878477189274i,13.979929943103-29.0745264230561i,60.6645509216603+43.5475027917956i,-0.828482677,-0.550960659,-0.100293594
10406.09601,8293.090378,-0.873970704212669+0.533211521100929i,19.5048186157854+1.31581223895799i,-2.61560653287016+7.5772611862864i,-17.7482463065964+9.2502126538269i,-0.829768531,-0.553814653,-0.069090623
9996.265748,8056.740251,-0.225918640624713+0.90247409164337i,8.43111809828314-2.0924484004344i,-0.701396059713245+3.68094111645035i,-0.0163662702178895+8.08158874548955i,-0.830499364,-0.555739889,-0.037735693
10518.32102,8464.092154,0.429757562248796+0.74992796950196i,4.73828941168095-2.89864036782945i,0.282046372360968+2.83547736978833i,4.21008719215604+2.3076631391002i,-0.830658445,-0.556747131,-0.006259442
10332.90288,8790.975047,0.77491252963616+0.237881939591098i,2.69404717216926-3.06775842933452i,1.19680688686835+2.19166953740307i,2.81741523451186-1.73637927812273i,-0.830263644,-0.556798789,0.025246585
7445.152016,9126.754192,0.696197536650794-0.330261743061501i,1.33018762926356-2.94891454460565i,1.88746712106526+1.30629001759298i,-0.0478403068642207-2.49233712678758i,-0.8293151,-0.55589458,0.056724604
4029.399756,10086.0323,0.286833078918362-0.689285275478371i,0.350592283464309-2.66495327882984i,2.13854821844942+0.222503541022825i,-1.73635159082413-1.00605485282864i,-0.827814091,-0.554039009,0.088117007
2815.624659,10505.69446,-0.246126928146299-0.697545383728901i,-0.364451998010113-2.27924139474609i,1.85602386017559-0.826474203392938i,-1.50017286258194+0.81520449179547i,-0.82576714,-0.551236006,0.119362875
3608.430043,10291.31367,-0.660834975691336-0.35240780652269i,-0.87380497108242-1.83360691570907i,1.11571245067164-1.57371283180694i,-0.0687365043656491+1.51964727475785i,-0.823224567,-0.547442158,0.150360884
5291.691388,11971.04093,-0.744357853125164+0.203058435926039i,-1.21216016675462-1.35985512100702i,0.13556151288859-1.83221349144898i,1.17841099332701+0.766079490881006i,-0.820141315,-0.542742758,0.181103623
4912.312287,12309.50818,-0.406635690642563+0.693412388433931i,-1.40397117921588-0.883885675059286i,-0.800104020066249-1.56042472978708i,1.1838020671481-0.614111546745685i,-0.816522779,-0.537160862,0.211539025
2993.842942,12738.64826,0.218009656597998+0.813175314226938i,-1.46933904778473-0.427342126241781i,-1.43259146001715-0.871365427164631i,0.0271739665554906-1.28799495208008i,-0.81237516,-0.530723704,0.241617363
1860.710672,14154.91469,0.774202621047994+0.422882068005993i,-1.42666544227108-0.00834143404331046i,-1.60587601133586+0.00919599999798339i,-1.10100068188649-0.609769192679909i,-0.807705338,-0.523462465,0.271291603
2748.845764,12793.9024,0.87411260459675-0.292668380143688i,-1.29389054053598+0.358182419338702i,-1.30615242431157+0.816520897571532i,-1.0261773619872+0.691772616070826i,-0.802514542,-0.515398932,0.300556737
4239.142495,12674.43916,0.385036607126588-0.877923242645993i,-1.08906904733917+0.660334024761435i,-0.655541319346449+1.32664661876471i,0.160391137333978+1.21037180196977i,-0.79681512,-0.506581089,0.329334578
4510.903613,13274.65481,-0.413108310820479-0.900978552398794i,-0.830603285406985+0.889246858668048i,0.133618824635418+1.41751942388818i,1.14432146764433+0.381000478016892i,-0.790615591,-0.497051494,0.357584675
2586.095131,13384.44319,-0.97558883223313-0.292276580702305i,-0.537258103447641+1.03917836130447i,0.826520870773532+1.09538716872505i,0.827870503932166-0.856782842556688i,-0.783924056,-0.48685461,0.385273493
2244.18621,13405.12427,-0.879202038579143+0.555397489765867i,-0.227994358173622+1.10767788847343i,1.23392342592951+0.482369757756445i,-0.41474841423651-1.10050015184529i,-0.776748454,-0.476037429,0.41237144
5579.283572,14364.74115,-0.157542196806667+1.04375035116278i,0.0783758625194336+1.09578037783292i,1.2612153875518-0.227284978779477i,-1.15606865971832-0.0908268139140931i,-0.769083486,-0.464690212,0.438832085
11143.7779,12993.29144,0.694191302031847+0.808366049910055i,0.363711579705219+1.00816250941837i,0.926868772820069-0.826886745631575i,-0.562478930326313+0.993869738065688i,-0.760946202,-0.452835318,0.464651538
15553.34555,13996.86353,1.07021734939587+0.0012447392852089i,0.611226485322833+0.853188717995665i,0.34840721124005-1.15504265269051i,0.653083191487771+0.913858185926224i,-0.752346522,-0.440513586,0.489818834
17336.38563,14670.3539,0.699248809729526-0.810177393249191i,0.806292777054347+0.642775747032618i,-0.297088801903485-1.13621664162453i,1.08456164382345-0.203780004273977i,-0.74328953,-0.427778811,0.514320876
16075.97616,14148.04278,-0.156197382219294-1.05466452756476i,0.937298188827938+0.392017933823657i,-0.825109822046504-0.795121377250573i,0.267043885519231-1.04976732655379i,-0.733779022,-0.414685832,0.538148686
15313.04938,15017.519,-0.893686262886484-0.567887787139778i,0.996467674749183+0.118540146088255i,-1.09387401902787-0.243598035266872i,-0.823211971084496-0.671819522929264i,-0.723793256,-0.401294423,0.561325315
16513.34412,17022.19868,-1.00527323471619+0.299808451834668i,0.980549177332757-0.158421631766883i,-1.03991002480603+0.354408469039145i,-0.938223699138452+0.453233957019204i,-0.713341792,-0.387657232,0.583836757
16563.38355,16215.54326,-0.429733383018826+0.944262143882726i,0.891263375784188-0.41917493065685i,-0.691162140301055+0.829382447669776i,0.0128053930474123+1.02171972700998i,-0.702437058,-0.373828171,0.605668785
13678.71046,16685.74947,0.422197791169638+0.93383968059663i,0.735431366297581-0.644887360230177i,-0.155690090595153+1.05195283422234i,0.91271890490586+0.414504973161677i,-0.691075113,-0.359864236,0.626827663
