Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
2187.68622,8279,-65,-0.14,-2.08,18,-0.211738423,-0.645581254,0.733751108
630.7866889,8279.33196,-65.0706764661626+64.4452991049309i,-0.143035990270655-0.140885374742052i,-2.08212068402271-2.86717385475443i,18.3868487606808-0.0504905371082519i,-0.212533105,-0.643565354,0.735290768
3507.571722,8354.408903,-239.618329808519-247.955869976594i,0.0404349597052766+0.118621148069958i,-12.1106791641285-4.80802558764715i,19.7238524568556-38.4498869916826i,-0.214164117,-0.641998534,0.736186855
9693.224076,8538.997496,115.781387850461+15.5343782859628i,0.304370935194695+0.318441914158125i,20.06059668814-4.49411156083525i,30.293692141546+41.5978600175515i,-0.214544921,-0.640198353,0.737642564
13675.60866,8802.825967,13.4531256317572-14.0199173502515i,0.56301386767593+0.423691540473656i,4.60454283373276-4.98375832659299i,13.5144166737072-2.19343236875714i,-0.215952251,-0.638277926,0.738895109
12452.32047,8529.36026,-1.37469364465198-8.11893804244392i,0.774736282792219+0.407313676100052i,0.606208523366906-4.24754270394544i,2.24192945586063-6.84996740113792i,-0.216001751,-0.636690266,0.740249251
10573.93145,9199.843153,-4.11951749958548-2.34209712233381i,0.927341965336812+0.278112059372123i,-1.42716565721025-2.88347581550145i,-3.16883600036321-3.31761244386394i,-0.216647637,-0.635361028,0.741201946
9534.594855,9610.365739,-3.01038272624464+0.993228089653972i,1.01109002378136+0.0689868278478512i,-2.27434072854163-1.2827028554726i,-3.11228759750429+0.796566257896962i,-0.218623155,-0.633860872,0.741906099
10125.09441,9621.806896,-1.03504349007232+2.08069844114596i,1.01690876220654-0.182324990273191i,-2.21131902719736+0.177527577039204i,-0.673181471275996+2.30459477057058i,-0.21874216,-0.631684133,0.743724918
12857.56831,10459.84317,0.526162607117135+1.7484833713746i,0.941576169659666-0.440703582024631i,-1.52294884076733+1.20553558439598i,1.26598505710279+1.41444852984858i,-0.220463421,-0.629849019,0.744771989
10761.08048,10726.99492,1.30191553079552+0.796106455449746i,0.789831169297102-0.675653966463056i,-0.53969997155065+1.65158532212355i,1.56618595036574-0.250854699789001i,-0.220509866,-0.628809553,0.74563707
5089.552043,10350.08504,1.32974203622496-0.231559781023367i,0.573923047501184-0.862326209024257i,0.414671162661359+1.52449859661405i,0.563489533688293-1.27956890428171i,-0.22180931,-0.627022212,0.746755519
1564.371095,11187.15009,0.777865990120163-0.981478811375322i,0.312016596172498-0.982396388146031i,1.08689318389762+0.96785873407544i,-0.721494140821333-1.07041041709644i,-0.222761935,-0.625183358,0.748012515
3500.710434,12566.54632,-0.0906602273335106-1.20028652907647i,0.0261521805483542-1.024709932608i,1.33929811217114+0.206935928720881i,-1.23231649095402+0.0615103254229823i,-0.222937071,-0.623321038,0.749512621
9866.351812,11994.36823,-0.882897638633544-0.78779348140107i,-0.259922155826422-0.985531644786259i,1.16403625396751-0.516773212394798i,-0.546910747869402+1.07488854201219i,-0.224717969,-0.621724159,0.750306979
15665.61853,12192.76183,-1.1754927132032+0.069306854119489i,-0.522863027014826-0.868329419887638i,0.665909350224154-1.0061923352602i,0.674802858691107+0.984476914200086i,-0.225472394,-0.620198372,0.751342516
17389.17965,13569.19472,-0.765135184957071+0.895752345412717i,-0.741652517668014-0.683092277328548i,0.0214666716806101-1.15113628833948i,1.17934594583015-0.141679046225845i,-0.226669062,-0.618629126,0.752276673
11852.39183,14059.24171,0.131961755463865+1.17237879402291i,-0.899218004318079-0.445234457037841i,-0.573588226725013-0.94530930535373i,0.403321049404941-1.11297804000983i,-0.226087919,-0.617318611,0.753525803
