Iout_exp,Iin_fit,e_delta1,e_delta2,e_delta1_delta2,e_delta1plusdelta2,N_RC2,C_RC2,S_RC2
1835.50495,6665,0,0,0,0,-0.214266907,-0.82855553,0.517286704
520.4608167,6665.194089,-8.41624893340908-6.75141131932151i,-0.628179032371047+1.32001796868547i,2.14165021592012-2.78293169122782i,14.1988953666736-6.86850479131955i,-0.213210439,-0.828578378,0.517685383
3112.729266,7149.93404,-31.9325714572351-17.7981706176614i,0.0888812686040077+1.23315920119853i,-0.366559813755074-12.5236369050326i,19.1097704007632-40.9598682937473i,-0.21352224,-0.828664848,0.517418523
8658.250138,7429.794345,-3.63722365048805-8.56899248714347i,-0.704646861458096+2.16217804281776i,7.71963911864685-2.81761658717948i,21.0906456345095-1.82621145197908i,-0.212021813,-0.828720984,0.517945849
12176.80995,7266.816496,-3.28594619252904-4.1667580589186i,0.450247704049978+1.35087239574944i,2.42046466749871-3.29834437730096i,4.1492687127417-6.3149672547653i,-0.212139599,-0.828756326,0.517841666
11626.77816,7343.67884,-2.95427800057315-0.818180651156606i,0.832514298940338+0.995633599951865i,-0.0709917136572386-2.93698835675405i,-1.64487053140001-3.62252553217344i,-0.210564921,-0.828916843,0.518227773
9967.321366,7538.356367,-1.84122001654709+0.721044573525337i,1.05555162139224+0.62812413295341i,-1.47330724425408-1.86865909448054i,-2.39640827137249-0.395414957789362i,-0.209784666,-0.828777504,0.518765903
9953.789756,8430.465762,-0.784756610686661+1.15448639960846i,1.15260597540799+0.250293203262617i,-1.9622698993958-0.555746690172608i,-1.1934752577995+1.13424867684569i,-0.210091897,-0.828652905,0.518839803
9953.297133,8290.990117,-0.0440276758904323+1.10022292255914i,1.13612266288275-0.114817498173066i,-1.70302520667694+0.597723424384346i,0.0763040030277231+1.25504334413865i,-0.208112767,-0.82911866,0.518894513
11776.22899,7957.753642,0.489173906857688+0.855091348856498i,1.01975015871882-0.442612356221604i,-0.961818924442048+1.31668690046315i,0.877309165861319+0.655465123199099i,-0.208457172,-0.828991651,0.518957298
9660.992851,8672.075845,0.878968734295409+0.410422891576462i,0.821276678271074-0.711521441847872i,-0.0566179739709764+1.49364337629944i,1.01390120998812-0.288334352084743i,-0.207318945,-0.828946605,0.519486426
4590.002811,8461.742526,0.97003600598096-0.244138460745744i,0.562349813162712-0.905044499140363i,0.720761819962035+1.18321446082861i,0.324543395797965-1.01521696896736i,-0.206345477,-0.828889145,0.519966024
856.6118398,9340.120151,0.575986820467066-0.870923258843378i,0.267237416330674-1.01285697852469i,1.16925796860712+0.558472333153037i,-0.728195470736842-0.81613555216391i,-0.205348103,-0.82896573,0.520239011
2420.96547,9518.45043,-0.21070236782326-1.0660736290466i,-0.0387684951338394-1.0312977617725i,1.21151410889325-0.154007794392238i,-1.0912707337988+0.258626950636301i,-0.204318266,-0.828697438,0.521070075
8162.320665,9672.465605,-0.944357290792555-0.605223580271219i,-0.331038872409412-0.963334575974638i,0.891453104321981-0.74058545142456i,-0.270413828374852+1.11008456186278i,-0.204271332,-0.828716145,0.521058695
13834.26995,10713.45684,-1.11041179032625+0.287098459604123i,-0.587218592948195-0.818067856688519i,0.343224703165788-1.05220216307806i,0.886920470615389+0.739802639867531i,-0.203079552,-0.828555511,0.521780668
15543.22735,11190.226,-0.540547346021008+1.0289881776069i,-0.788638718335339-0.609839813254973i,-0.255992091038071-1.03193688782378i,1.05381452423894-0.481852625017202i,-0.202975369,-0.828489354,0.521924264
15079.16911,12474.2595,0.40877680477009+1.09474232985264i,-0.921438652036685-0.357028969141815i,-0.735787636148627-0.716666517739731i,0.0141919775319812-1.15468305796307i,-0.201056487,-0.828433421,0.522755693
13514.91887,13377.45687,1.08853621703034+0.420099962817818i,-0.977334469306121-0.0806221915932826i,-0.973703929574851-0.216923553874049i,-1.02999458630121-0.49833834966172i,-0.20032823,-0.827888971,0.523896737
14687.87031,12929.44021,1.02810236215623-0.53355947591264i,-0.953996213276102+0.197336532044035i,-0.920542520567772+0.317514242028143i,-0.875514983741424+0.711895874312431i,-0.200674578,-0.827834898,0.523850609
14928.93986,11715.58095,0.277278665792484-1.11044769661414i,-0.855022452054027+0.455319164877399i,-0.606680020225634+0.73754222722941i,0.268528633134222+1.07570800298372i,-0.198991051,-0.827813862,0.524524335
13255.21594,12982.81816,-0.638062167766103-0.928869057831279i,-0.689524442365527+0.673809915121456i,-0.129873255331024+0.931660421816559i,1.0658406414397+0.210545304027015i,-0.197811204,-0.827530324,0.525417615
5961.742819,12309.27258,-1.09830042271445-0.13680446280957i,-0.471354336240283+0.83663343500375i,0.371974767591543+0.852576336715741i,0.632143854385206-0.854391478559349i,-0.196498226,-0.827375835,0.526153217
868.5314105,12993.60319,-0.816849217305105+0.71487327061106i,-0.218031515334671+0.932034965515676i,0.757089297169094+0.528013698985223i,-0.488188011473086-0.917196934546053i,-0.196467505,-0.82703174,0.526705256
3032.099695,13122.85953,-0.0121498445818754+1.06413327923017i,0.0505621320798549+0.953447446282246i,0.917161743456719+0.0530257610804075i,-1.01520947963246+0.0422206091256898i,-0.196412207,-0.826481912,0.52758854
10916.92442,13189.24259,0.768029487862082+0.707105391881264i,0.313633876479438+0.899898764676232i,0.806860745016362-0.435150278170166i,-0.39544320312115+0.91292099249724i,-0.19567619,-0.826419332,0.527960767
19220.93101,12460.89859,1.02130791530048-0.094089757612076i,0.550985348758505+0.77603315049105i,0.457519026160513-0.794357947107305i,0.635742468930297+0.740726721219588i,-0.194914518,-0.826133654,0.528688924
23755.8866,14410.65508,0.606762786163772-0.807218784345085i,0.744473220086479+0.591743586839684i,-0.0298184392809218-0.917739700581069i,0.929385184056717-0.241904780250288i,-0.193743716,-0.825880905,0.529513836
18732.52603,13364.57852,-0.187108489616342-0.979251637890397i,0.879327908226576+0.361436136023334i,-0.511592731194521-0.765800489061086i,0.189407211407854-0.928711063877704i,-0.193558681,-0.825220489,0.530609427
16090.01616,13107.75514,-0.842178032589434-0.515064636397984i,0.94523922792939+0.102971132518376i,-0.84276860056835-0.380322914011072i,-0.743022924373863-0.573579325040395i,-0.192572856,-0.82519822,0.531002334
18736.60237,13715.00281,-0.94099379841597+0.275371205557189i,0.937130294463378-0.163651130990808i,-0.920385274592459+0.125390577684359i,-0.836768986166034+0.412053398316654i,-0.191633764,-0.825118981,0.531465072
21218.89673,13980.7298,-0.42593572865611+0.878713208974199i,0.855559284138036-0.417772912460374i,-0.716396468992243+0.598591918782465i,0.00268930943271872+0.929735653914197i,-0.190385007,-0.824478231,0.532905693
18135.42039,14399.5,0.366262645782269+0.903515548034986i,0.70671224818383-0.639627401649356i,-0.288833143141752+0.892874789615221i,0.836755600165957+0.404253879777919i,-0.190477355,-0.823987523,0.533632737
10783.4411,15495.01331,0.917103329286704+0.331691124883142i,0.501977913449589-0.811841913037418i,0.23352010583945+0.913961916449498i,0.729646373015674-0.578041302522516i,-0.189110237,-0.82368053,0.534591228
2476.282243,14362.54512,0.860111095156697-0.463175901768256i,0.257125590749311-0.920783671693456i,0.689425743669481+0.650834948247566i,-0.205328234017899-0.911070629625671i,-0.189122319,-0.823111828,0.535461568
2059.624638,15820.27834,0.226460030906491-0.952796224803317i,-0.00886220342441834-0.957643213978447i,0.935200819002407+0.18148434898659i,-0.914445773848573-0.208424037868726i,-0.188707186,-0.822460534,0.536608644
10536.22915,15732.7558,-0.564610034548236-0.803529208767962i,-0.275222477390343-0.919166227132721i,0.890712483047471-0.349629182456884i,-0.583183538746376+0.740119774749598i,-0.188007571,-0.821946883,0.537640203
20081.90792,14677.60686,-0.978632035163892-0.108300160747339i,-0.521006275405989-0.807968410436476i,0.566267801884007-0.776087913532449i,0.42237032290468+0.847128833230425i,-0.187436318,-0.822054748,0.537674042
22021.13471,15776.32443,-0.728707432321764+0.665103197451323i,-0.726714811648478-0.63239825164057i,0.0610555880024771-0.962181914321489i,0.950172583655326-0.0225070387048661i,-0.186652152,-0.821626443,0.538600503
20865.31635,16381.63366,0.0203826464836475+0.987537970018364i,-0.875849451094622-0.405947332417745i,-0.467086141209246-0.846770898945569i,0.383036274855631-0.873208869943332i,-0.185382044,-0.821052858,0.539913045
17340.33459,15301.63846,0.75730212689645+0.634312442595233i,-0.956250344974154-0.146244174773864i,-0.851335069753022-0.463860622675863i,-0.631405920378257-0.717312516655553i,-0.186244542,-0.820531639,0.540408043
19831.49147,15417.23699,0.974736296606767-0.153883073530435i,-0.961111679985401+0.126297370218922i,-0.969141626890758+0.067205712984006i,-0.917395412066379+0.271005450240519i,-0.185917823,-0.819395338,0.542241239
23046.77343,15948.78379,0.522847420454183-0.834278515663842i,-0.889584617114166+0.390073763476015i,-0.781807309097107+0.579155035882183i,-0.139686861941685+0.946110394943684i,-0.184715327,-0.819629777,0.542297611
18555.26662,16598.94288,-0.285087007806568-0.938872750167433i,-0.746910504816753+0.624007063596581i,-0.347404763505493+0.909918855359876i,0.798797708840328+0.523357613175339i,-0.184096438,-0.819060304,0.543366989
11107.00374,17013.22119,-0.891324357943763-0.399578062281577i,-0.544064413262003+0.809242336926458i,0.197319009129051+0.954391319992563i,0.808293348736095-0.503901202374291i,-0.183939593,-0.818360253,0.54447424
2236.160397,19035.70675,-0.88192926554747+0.407458358950699i,-0.296929346869569+0.930687896722975i,0.680325249174082+0.698089010406652i,-0.117345882289852-0.941787237610591i,-0.18285522,-0.818252615,0.545001034
2437.682319,18111.4601,-0.270831793360558+0.926778997588221i,-0.0250611614746901+0.97826919858459i,0.949008016395019+0.221852318315288i,-0.89985198792977-0.28817255955197i,-0.181871891,-0.817640526,0.546247156
