,out_N,out_C,out_S,I_predict,out_N_simple,out_C_simple,out_S_simple
0,-0.14928062,-0.76126045,-0.6351657,1.9724209,0.17100984,-0.100835495,-0.022518385
1,-0.14971185,-0.7618866,-0.6340225,5.2180185,0.16900185,-0.1212238,-0.04188437
2,-0.15054011,-0.7626521,-0.63295263,-5.435842,0.16044651,-0.14131947,-0.057046853
3,-0.1513533,-0.76339614,-0.63191354,7.4688044,0.15202865,-0.16108145,-0.07197068
4,-0.15215163,-0.7641189,-0.6309051,0.27425593,0.1437468,-0.18051346,-0.08665843
5,-0.15293525,-0.76482046,-0.62992674,0.7224602,0.13559929,-0.19961888,-0.1011129
6,-0.15370443,-0.76550084,-0.62897855,2.9544768,0.12758455,-0.21840152,-0.1153367
7,-0.15445918,-0.7661604,-0.6280599,4.2698793,0.11970109,-0.2368646,-0.12933236
8,-0.15519983,-0.7667992,-0.6271708,4.1483493,0.11194731,-0.2550115,-0.14310226
9,-0.15592639,-0.7674174,-0.6263106,3.1282475,0.10432175,-0.27284524,-0.15664868
10,-0.15663905,-0.76801515,-0.6254796,1.6781666,0.09682282,-0.29036897,-0.16997395
11,-0.15733792,-0.76859254,-0.6246769,0.24535246,0.08944909,-0.30758557,-0.18308015
12,-0.15802312,-0.7691499,-0.6239026,-0.39965045,0.082199074,-0.32449797,-0.19596927
13,-0.15869468,-0.7696872,-0.62315637,0.32196796,0.07507127,-0.34110865,-0.20864329
14,-0.15935275,-0.7702048,-0.6224381,1.9506962,0.06806422,-0.3574206,-0.2211042
15,-0.15999742,-0.7707026,-0.62174714,3.1907508,0.06117652,-0.37343603,-0.23335367
16,-0.1606287,-0.77118087,-0.6210836,3.206221,0.05440669,-0.38915753,-0.24539344
17,-0.16124672,-0.77163965,-0.62044716,2.468896,0.047753368,-0.40458727,-0.25722525
18,-0.1618515,-0.77207935,-0.6198373,2.0747802,0.041215118,-0.41972777,-0.26885045
19,-0.1624431,-0.77249974,-0.6192541,2.3780258,0.034790546,-0.43458092,-0.2802707
20,-0.16302149,-0.77290124,-0.61869717,2.6324997,0.028478313,-0.44914892,-0.29148734
21,-0.16358675,-0.773284,-0.618166,2.029414,0.022277018,-0.4634338,-0.30250174
22,-0.16413891,-0.773648,-0.6176607,0.8022323,0.01618535,-0.4774374,-0.31331512
23,-0.16467795,-0.7739935,-0.6171807,0.058869023,0.010201943,-0.4911616,-0.32392892
24,-0.16520394,-0.77432054,-0.61672616,0.5724989,0.004325523,-0.50460833,-0.33434427
25,-0.16571687,-0.77462924,-0.6162964,1.9426917,-0.0014452637,-0.5177792,-0.3445622
26,-0.16621667,-0.7749199,-0.61589134,3.0310879,-0.007111675,-0.5306758,-0.35458368
27,-0.16670342,-0.77519274,-0.61551094,3.1276417,-0.01267498,-0.5433001,-0.36441013
28,-0.16717708,-0.7754475,-0.6151545,2.5762818,-0.018136473,-0.5556534,-0.37404227
29,-0.16763766,-0.77568436,-0.6148222,2.257893,-0.02349738,-0.5677372,-0.3834811
30,-0.1680851,-0.7759039,-0.6145135,2.5579703,-0.028758941,-0.5795532,-0.3927277
